Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,community_recruitment_survey,,text,Record ID,,,integer,,,,,,,,,,
comm_last_name,community_recruitment_survey,,text,Last Name ,,,,,,,,,,,,,
comm_first_name,community_recruitment_survey,,text,First Name ,,,,,,,,,,,,,
comm_personal_email,community_recruitment_survey,,text,Personal Email Address ,,,email,,,,,,,,,,
comm_dayphone,community_recruitment_survey,,text,Daytime Phone Number,,,,,,,,,,,,,
time_of_day,community_recruitment_survey,,radio,Best Time of Day to Contact,"1, Morning (9am-12pm) | 2, Afternoon (1pm-5pm) | 3, Evening (6pm-8pm)",,,,,,,,,,,,
mode_contact,community_recruitment_survey,,radio,Best Mode of Contact,"1, Email | 2, Phone | 3, Text",,,,,,,,,,,,
comm_notes,community_recruitment_survey,,notes,Notes,,,,,,,,,,,,,
mrn,recruitment,"For REDCap support, please contact <a href=""mailto:email-address-here"">email-address-here</a>.
",text,MRN,,,,,,y,,y,,,,,
name_last,recruitment,"If the Last Name, First Name, and Date of birth does not populate from EPIC, please manually enter in values ",text,Last Name,,Auto-populated with Epic data,,,,y,,y,,,,,
name_first,recruitment,,text,First Name,,Auto-populated with Epic data,,,,y,,y,,,,,
dob,recruitment,,text,Date of Birth,,Auto-populated with Epic data,date_mdy,,,y,,y,,,,,@HIDEBUTTON
age,recruitment,,calc,Age,"if ((round(datediff([dob], ""today"", 'y', 'mdy'),4) - rounddown(datediff([dob], ""today"", 'y', 'mdy'), 0)) > .9989, roundup(datediff([dob], ""today"", 'y', 'mdy'), 0), rounddown(datediff([dob], ""today"", 'y', 'mdy'), 0))",As of the date this form was opened,,,,,,,,,,,
sex,recruitment,,radio,Sex,"1, Male | 2, Female | 3, Intersex | 4, Unknown",Auto-populated with Epic data,,,,y,,,,,,,
epic_phone,recruitment,,text,Phone Number,,Auto-populated with Epic data,,,,,,,,,,,
epic_email,recruitment,,text,Email,,Auto-populated with Epic data,,,,,,,,,,,
rsource,preenrollment_contact,"For REDCap support, please contact <a href=""mailto:email-address-here"">email-address-here</a>.
",dropdown,Recruitment Source,"1, Epic Schedule | 2, Local Advertising | 3, Phone | 4, Referral | 5, In Person Clinic Visit | 6, Email | 7, National Advertisement | 8, Social Media | 9, Community Event | 10, Weill Cornell Website/Portal",,,,,,,y,,,,,
re_coordinator,preenrollment_contact,,sql,Recruiting Coordinator ,"select record, value from redcap_data where project_id = 3053 and field_name = 'coordinator' order by value",,autocomplete,,,,,y,,,,,
recruitment_site,preenrollment_contact,,dropdown,Attempted Recruitment Site,"1, Choice One | 2, Choice Two",,autocomplete,,,,,y,,,,,
date_contact,preenrollment_contact,,text,Date of Contact ,,,date_mdy,,,,,y,,,,,
schvdate,preenrollment_contact,,text,Scheduled Visit Date ,,,date_mdy,,,,,,,,,,
method,preenrollment_contact,,radio,Primary Method of Contact,"1, Phone | 2, Email | 3, In Person",,,,,,,y,,,,,
se_method,preenrollment_contact,,radio,Secondary Method of Contact,"1, Phone | 2, Email | 3, In Person",,,,,,,,,,,,
